"class","proportion_nonzero"
"hydromedusae_narcomedusae_aegina",0.0037520162704257
"hydromedusae_narcomedusae_other",0.0407461953853706
"hydromedusae_narcomedusae_solmundella",0.0604530471982608
"hydromedusae_narcomedusae_solmaris",0.0697103583701522
"hydromedusae_leptomedusae_mitrocoma",0.0712532435654674
"hydromedusae_trachymedusae_liriope",0.0822638333683989
"hydromedusae_trachymedusae_aglaura",0.0939757346237464
"hydromedusae_leptomedusae_other",0.0956588821095448
"siphonophore_calycophoran_sphaeronectes",0.117960586296374
"fish_flatfish",0.135703766042499
"hydromedusae_other",0.136334946349674
"foraminifera",0.14359351988218
"fish_myctophid",0.146468896837085
"copepod_calanoid_metridia",0.177046076162424
"hydromedusae_trachymedusae_arctapodema",0.194613928045445
"fish_clupeiformes",0.196647731257451
"ctenophore_beroe",0.206501157163896
"fish_long_slender",0.215057156883372
"hydromedusae_trachymedusae_aglantha",0.225015779507679
"crustacean_shrimp_mysids",0.238586156111929
"copepod_calanoid_mesocalanus",0.249701942632723
"echinoderm_pluteus",0.259239778385581
"siphonophore_physonect",0.28634546602146
"fish_sebastes",0.289606564275195
"hydromedusae_unknown",0.303492531033032
"copepod_carcass",0.315134301143138
"echinoderm_brachiolaria",0.317764219089698
"siphonophore_calycophoran_muggiaea",0.334455431657199
"fish_unknown",0.36341959464198
"crustacean_megalopae",0.371379479626902
"crustacean_amphipods",0.373553545129392
"copepod_eucalaniid",0.375587348341398
"pyrosome",0.395960446034084
"hydromedusae_anthomedusae_other",0.408759380040676
"siphonophore_calycophoran_abylidae",0.410197068518129
"tunicate_salp",0.419243986254296
"hydromedusae_anthomedusae_velella",0.432884494003787
"copepod_calanoid_pseudocalanus",0.434637772634827
"ctenophore_cydippid",0.448418542674802
"crustacean_shrimp_caridean",0.480994459639526
"crustacean_ostracod",0.483449049722982
"polychaete",0.513815835612596
"crustacean_shrimp_molt",0.555368539168245
"protist_other",0.566659653552143
"siphonophore_other",0.574759800827548
"copepod_calanoid_calanus",0.590469177361666
"copepod_calanoid_diaptomoidea",0.592012062556982
"tunicate_doliolid",0.59499263622975
"ctenophore_lobate",0.635773897187741
"diatoms",0.637316782383056
"polychaete_larvae",0.655971667017322
"protist_acantharia",0.678834420366085
"copepod_calanoid_paraeuchaeta",0.705834911284101
"protist_noctiluca",0.712988288098745
"pteropod",0.760256679991584
"crustacean_shrimp_euphausiid",0.767480187951469
"protist_radiolarian_other",0.797531383687496
"crustacean_zoea",0.858475348902448
"copepod_calanoid_paracalanidae",0.894557823129252
"crustacean_other",0.89753839680202
"chaetognath",0.911354232414615
"appendicularian",0.913878953643313
"copepod_calanoid_other",0.931832526825163
"copepod_cyclopoid_oithona_eggs",0.94396521495196
"copepod_poecilostomatoid",0.960936952100428
"phytoplankton_diatom_chain",0.970334525562802
"copepod_cyclopoid_oithona",0.980152885896627
"copepod_other",0.99386352479136
"detritus",0.999964934427379
